schema,hfsql_table,pg_table,hfsql_column,pg_column,pg_type,pk
adv,AgendaCommercial,pgt_agenda_commercial,IDAgendaCommercialAuto,id_agenda_commercial_auto,bigint,
adv,AgendaCommercial,pgt_agenda_commercial,IDAgendaCommercial,id_agenda_commercial,bigint,1
adv,AgendaCommercial,pgt_agenda_commercial,IDSalarie,id_salarie,bigint,
adv,AgendaCommercial,pgt_agenda_commercial,IDAgendaCommercial_Catégorie,id_agenda_commercial_categorie,integer,
adv,AgendaCommercial,pgt_agenda_commercial,IDAgendaCommercial_Origine,id_agenda_commercial_origine,integer,
adv,AgendaCommercial,pgt_agenda_commercial,IDAgendaCommercial_Source,id_agenda_commercial_source,integer,
adv,AgendaCommercial,pgt_agenda_commercial,MotifStatut,motif_statut,text,
adv,AgendaCommercial,pgt_agenda_commercial,Titre,titre,text,
adv,AgendaCommercial,pgt_agenda_commercial,Contenu,contenu,text,
adv,AgendaCommercial,pgt_agenda_commercial,InfoCompl,info_compl,text,
adv,AgendaCommercial,pgt_agenda_commercial,DateDébut,date_debut,timestamp,
adv,AgendaCommercial,pgt_agenda_commercial,DateFin,date_fin,timestamp,
adv,AgendaCommercial,pgt_agenda_commercial,IDTK_Liste,id_tk_liste,bigint,
adv,AgendaCommercial,pgt_agenda_commercial,OPCrea,op_crea,bigint,
adv,AgendaCommercial,pgt_agenda_commercial,Datecrea,datecrea,timestamp,
adv,AgendaCommercial,pgt_agenda_commercial,ModifOP,modif_op,bigint,
adv,AgendaCommercial,pgt_agenda_commercial,ModifDate,modif_date,timestamp,
adv,AgendaCommercial,pgt_agenda_commercial,ModifELEM,modif_elem,varchar(5),
adv,AgendaCommercial_Catégorie,pgt_agenda_commercial_categorie,IDAgendaCommercial_CatégorieAuto,id_agenda_commercial_categorie_auto,bigint,
adv,AgendaCommercial_Catégorie,pgt_agenda_commercial_categorie,IDAgendaCommercial_Catégorie,id_agenda_commercial_categorie,integer,1
adv,AgendaCommercial_Catégorie,pgt_agenda_commercial_categorie,Lib_Catégorie,lib_categorie,text,
adv,AgendaCommercial_Catégorie,pgt_agenda_commercial_categorie,Couleur,couleur,integer,
adv,AgendaCommercial_Catégorie,pgt_agenda_commercial_categorie,IdCvStatut,id_cv_statut,bigint,
adv,AgendaCommercial_Catégorie,pgt_agenda_commercial_categorie,ModifDate,modif_date,timestamp,
adv,AgendaCommercial_Catégorie,pgt_agenda_commercial_categorie,ModifOP,modif_op,bigint,
adv,AgendaCommercial_Catégorie,pgt_agenda_commercial_categorie,ModifELEM,modif_elem,varchar(5),
adv,client,pgt_client,IDclientAuto,id_client_auto,bigint,
adv,client,pgt_client,IDclient,id_client,bigint,1
adv,client,pgt_client,Civilité,civilite,smallint,
adv,client,pgt_client,NOM,nom,text,
adv,client,pgt_client,PRENOM,prenom,text,
adv,client,pgt_client,DATENAISS,date_naiss,date,
adv,client,pgt_client,LOCA_PROPRIO,loca_proprio,smallint,
adv,client,pgt_client,ADRBAT,adr_bat,boolean,
adv,client,pgt_client,ADRESSE1,adresse1,text,
adv,client,pgt_client,ADRESSE2,adresse2,text,
adv,client,pgt_client,CP,cp,varchar(5),
adv,client,pgt_client,VILLE,ville,text,
adv,client,pgt_client,PAYS,pays,text,
adv,client,pgt_client,TEL,tel,varchar(15),
adv,client,pgt_client,GSM,gsm,varchar(15),
adv,client,pgt_client,MAIL,mail,text,
adv,client,pgt_client,DateSAISIE,date_saisie,timestamp,
adv,client,pgt_client,OPSAISIE,op_saisie,bigint,
adv,client,pgt_client,InfoInterne,info_interne,text,
adv,client,pgt_client,latitude_deg,latitude_deg,double precision,
adv,client,pgt_client,longitude_deg,longitude_deg,double precision,
adv,client,pgt_client,Opt_Partenaire,opt_partenaire,boolean,
adv,client,pgt_client,ModifOP,modif_op,bigint,
adv,client,pgt_client,ModifDate,modif_date,timestamp,
adv,client,pgt_client,ModifELEM,modif_elem,varchar(5),
adv,client,pgt_client,TELGSM1,tel_gsm1,varchar(30),
adv,ENI_contrat,pgt_eni_contrat,IDcontratAuto,id_contrat_auto,bigint,
adv,ENI_contrat,pgt_eni_contrat,IDcontrat,id_contrat,bigint,1
adv,ENI_contrat,pgt_eni_contrat,IDSalesForce,id_sales_force,varchar(25),
adv,ENI_contrat,pgt_eni_contrat,IDclient,id_client,bigint,
adv,ENI_contrat,pgt_eni_contrat,IDSalarie,id_salarie,bigint,
adv,ENI_contrat,pgt_eni_contrat,IdSte,id_ste,bigint,
adv,ENI_contrat,pgt_eni_contrat,NumBS,num_bs,text,
adv,ENI_contrat,pgt_eni_contrat,IDproduit,id_produit,integer,
adv,ENI_contrat,pgt_eni_contrat,IDetatContrat,id_etat_contrat,integer,
adv,ENI_contrat,pgt_eni_contrat,DateSignature,date_signature,date,
adv,ENI_contrat,pgt_eni_contrat,GazCarDeclaree,gaz_car_declaree,integer,
adv,ENI_contrat,pgt_eni_contrat,GazCarRelevée,gaz_car_relevee,integer,
adv,ENI_contrat,pgt_eni_contrat,ElecPuissance,elec_puissance,smallint,
adv,ENI_contrat,pgt_eni_contrat,GazActif,gaz_actif,boolean,
adv,ENI_contrat,pgt_eni_contrat,ElecActif,elec_actif,boolean,
adv,ENI_contrat,pgt_eni_contrat,InfoPartagée,info_partagee,text,
adv,ENI_contrat,pgt_eni_contrat,InfoInterne,info_interne,text,
adv,ENI_contrat,pgt_eni_contrat,MoisP,mois_p,date,
adv,ENI_contrat,pgt_eni_contrat,OPSAISIE,op_saisie,bigint,
adv,ENI_contrat,pgt_eni_contrat,DateSAISIE,date_saisie,timestamp,
adv,ENI_contrat,pgt_eni_contrat,NonCALL,non_call,boolean,
adv,ENI_contrat,pgt_eni_contrat,nbPoints,nb_points,double precision,
adv,ENI_contrat,pgt_eni_contrat,CodeENR,code_enr,text,
adv,ENI_contrat,pgt_eni_contrat,Notation,notation,numeric,
adv,ENI_contrat,pgt_eni_contrat,NotationInfo,notation_info,text,
adv,ENI_contrat,pgt_eni_contrat,ModifOP,modif_op,bigint,
adv,ENI_contrat,pgt_eni_contrat,ModifDate,modif_date,timestamp,
adv,ENI_contrat,pgt_eni_contrat,ModifELEM,modif_elem,varchar(5),
adv,ENI_contrat_compteur,pgt_eni_contrat_compteur,IDcontratCompteur,id_contrat_compteur,bigint,1
adv,ENI_contrat_compteur,pgt_eni_contrat_compteur,IDcontrat,id_contrat,bigint,
adv,ENI_contrat_compteur,pgt_eni_contrat_compteur,TypeRelève,type_releve,varchar(10),
adv,ENI_contrat_compteur,pgt_eni_contrat_compteur,Relève,releve,integer,
adv,ENI_contrat_compteur,pgt_eni_contrat_compteur,ModifOP,modif_op,bigint,
adv,ENI_contrat_compteur,pgt_eni_contrat_compteur,ModifDate,modif_date,timestamp,
adv,ENI_contrat_compteur,pgt_eni_contrat_compteur,ModifELEM,modif_elem,varchar(5),
adv,ENI_contrat_compteur,pgt_eni_contrat_compteur,IDcontratTypeRelève,id_contrat_type_releve,varchar(18),
adv,ENI_contrat_Option,pgt_eni_contrat_option,IDcontratOptionAuto,id_contrat_option_auto,bigint,
adv,ENI_contrat_Option,pgt_eni_contrat_option,IDcontrat,id_contrat,bigint,1
adv,ENI_contrat_Option,pgt_eni_contrat_option,NumBS,num_bs,text,
adv,ENI_contrat_Option,pgt_eni_contrat_option,OPT_Mail,opt_mail,boolean,
adv,ENI_contrat_Option,pgt_eni_contrat_option,OPT_IndexGaz,opt_index_gaz,boolean,
adv,ENI_contrat_Option,pgt_eni_contrat_option,OPT_Entretien,opt_entretien,boolean,
adv,ENI_contrat_Option,pgt_eni_contrat_option,OPT_Entretien_Etat,opt_entretien_etat,integer,
adv,ENI_contrat_Option,pgt_eni_contrat_option,OPT_DelaiRetra,opt_delai_retra,boolean,
adv,ENI_contrat_Option,pgt_eni_contrat_option,OPT_IndexElec,opt_index_elec,boolean,
adv,ENI_contrat_Option,pgt_eni_contrat_option,OPT_HP_HC,opt_hp_hc,boolean,
adv,ENI_contrat_Option,pgt_eni_contrat_option,OPT_EnergieVerteGaz,opt_energie_verte_gaz,boolean,
adv,ENI_contrat_Option,pgt_eni_contrat_option,OPT_EnergieVerteElec,opt_energie_verte_elec,boolean,
adv,ENI_contrat_Option,pgt_eni_contrat_option,OPT_DejaClientENI,opt_deja_client_eni,boolean,
adv,ENI_contrat_Option,pgt_eni_contrat_option,OPT_Reforestation,opt_reforestation,boolean,
adv,ENI_contrat_Option,pgt_eni_contrat_option,OPT_optinCommercial,opt_optin_commercial,boolean,
adv,ENI_contrat_Option,pgt_eni_contrat_option,OPT_eFacture,opt_e_facture,boolean,
adv,ENI_contrat_Option,pgt_eni_contrat_option,OPT_eCommunication,opt_e_communication,boolean,
adv,ENI_contrat_Option,pgt_eni_contrat_option,OPT_PDC,opt_pdc,boolean,
adv,ENI_contrat_Option,pgt_eni_contrat_option,OPT_AcceptComParte,opt_accept_com_parte,boolean,
adv,ENI_contrat_Option,pgt_eni_contrat_option,OPT_ConsentConsultDistri,opt_consent_consult_distri,boolean,
adv,ENI_contrat_Option,pgt_eni_contrat_option,OPT_Protection,opt_protection,boolean,
adv,ENI_contrat_Option,pgt_eni_contrat_option,ModifOP,modif_op,bigint,
adv,ENI_contrat_Option,pgt_eni_contrat_option,ModifDate,modif_date,timestamp,
adv,ENI_contrat_Option,pgt_eni_contrat_option,ModifELEM,modif_elem,varchar(5),
adv,ENI_etatContrat,pgt_eni_etat_contrat,IDetatAuto,id_etat_auto,bigint,
